S.NO,PLAYERS,Batsman_avg,Batsman_strikerate,Bowler_economy,Bowler_average,4s,6s,Ratio,Draft2_Player_id,Draft1_Player_id,Auction1_Player_id,Auction2_Player_id,Auction3_Player_id,No of balls played,4s ratio,6s ratio
39,Ravindra Jadeja,24.09,122.66,7.58,29.19,135,65,0.4814814815,10,10,,13,,1571,0.08593252705,0.04137492043
40,Kane Williamson,38.29,135.06,0,0,110,44,0.4,2,11,,,,964,0.1141078838,0.04564315353
41,Mohammad Nabi,15,148.35,6.62,27.18,11,7,0.6363636364,6,4,,,12,91,0.1208791209,0.07692307692
42,Martin Guptil,22.5,137.76,0,0,24,15,0.625,12,6,,10,,196,0.1224489796,0.07653061224
43,Colin Munro,14.75,125.53,0,0,19,8,0.4210526316,,10,,13,,141,0.134751773,0.05673758865
44,Mushfiqur Rahim,19.72,119.93,0,0,110,33,0.3,,,,,,1069,0.1028999065,0.03086997194
45,Manish Pandey,29.31,120.82,0,0,252,75,0.2976190476,8,2,,5,,2353,0.1070973226,0.03187420314
46,Jonny Bairstow,27.88,139.42,0,0,68,31,0.4558823529,10,12,12,,,283,0.2402826855,0.109540636
47,Shikhar Dhawan,33.17,124.78,0,0,524,96,0.1832061069,11,12,4,13,12,3669,0.1428182066,0.02616516762
48,Shimron Hetmyer,19.67,122.92,0,0,22,20,0.9090909091,8,8,,,,288,0.07638888889,0.06944444444
49,Jason Roy,24.57,147.51,0,0,85,41,0.4823529412,8,10,,2,,583,0.1457975986,0.07032590051
50,Yuzvendra Chahal,4.2,43.75,7.78,23.18,1,0,0,8,8,4,,4,48,0.02083333333,0
51,Kieron Pollard,28.7,146.78,8.86,31.61,181,176,0.9723756906,12,12,3,,,1877,0.09643047416,0.09376664891
