player,balls_Faced,dots,singles,doubles,triples,fours,sixes,wickets,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob,dots_conc,singles_conc,doubles_conc,triples_conc,fours_conc,sixes_conc,wickets_conc,balls_bowled,dot_conc_prob,sing_conc_prob,doub_conc_prob,trip_conc_prob,four_conc_prob,six_conc_prob,wkt_conc_prob,Present_league
Biplab Samantray,113,40,45,8,0,13,2,5,0.353982301,0.398230088,0.07079646,0,0.115044248,0.017699115,0.044247788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Barinder Sran,14,4,8,1,0,0,0,1,0.285714286,0.571428571,0.071428571,0,0,0,0.071428571,150,197,37,3,72,29,18,506,0.296442688,0.389328063,0.07312253,0.005928854,0.14229249,0.057312253,0.035573123,222
Ben Cutting,141,42,44,10,0,15,19,11,0.29787234,0.312056738,0.070921986,0,0.106382979,0.134751773,0.078014184,67,139,12,0,44,15,10,287,0.233449477,0.484320557,0.041811847,0,0.153310105,0.052264808,0.034843206,97
Beuran Hendricks,3,1,1,0,0,0,0,1,0.333333333,0.333333333,0,0,0,0,0.333333333,43,52,14,4,24,7,9,153,0.281045752,0.339869281,0.091503268,0.026143791,0.156862745,0.045751634,0.058823529,222
Bipul Sharma,123,25,51,19,0,11,9,8,0.203252033,0.414634146,0.154471545,0,0.089430894,0.073170732,0.06504065,114,207,28,2,28,31,17,427,0.266978923,0.484777518,0.06557377,0.004683841,0.06557377,0.072599532,0.039812646,222
Brad Haddin,11,4,2,1,0,2,1,1,0.363636364,0.181818182,0.090909091,0,0.181818182,0.090909091,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Brad Hodge,1118,362,452,89,8,122,43,42,0.323792487,0.404293381,0.07960644,0.007155635,0.109123435,0.038461538,0.037567084,58,108,19,0,17,14,17,233,0.248927039,0.463519313,0.081545064,0,0.072961373,0.060085837,0.072961373,222
Ben Rohrer,140,45,48,14,1,21,5,6,0.321428571,0.342857143,0.1,0.007142857,0.15,0.035714286,0.042857143,1,4,0,0,2,0,0,7,0.142857143,0.571428571,0,0,0.285714286,0,0,222
Jeevan Mendis,27,5,15,4,0,0,0,3,0.185185185,0.555555556,0.148148148,0,0,0,0.111111111,10,14,1,0,2,2,1,30,0.333333333,0.466666667,0.033333333,0,0.066666667,0.066666667,0.033333333,222
Ben Dunk,35,16,6,3,0,7,0,3,0.457142857,0.171428571,0.085714286,0,0.2,0,0.085714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Colin De Grandhomme,225,67,91,16,0,18,18,15,0.297777778,0.404444444,0.071111111,0,0.08,0.08,0.066666667,52,117,15,0,22,12,6,224,0.232142857,0.522321429,0.066964286,0,0.098214286,0.053571429,0.026785714,222
Colin Ingram,180,63,69,9,0,22,5,12,0.35,0.383333333,0.05,0,0.122222222,0.027777778,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Colin Munro,141,53,45,4,0,19,8,12,0.375886525,0.319148936,0.028368794,0,0.134751773,0.056737589,0.085106383,5,5,0,0,1,1,0,12,0.416666667,0.416666667,0,0,0.083333333,0.083333333,0,222
Chris Lynn,911,336,302,44,0,128,63,38,0.368825467,0.331503842,0.048298573,0,0.14050494,0.069154775,0.041712404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Chris Gayle,2970,1200,884,80,3,369,326,108,0.404040404,0.297643098,0.026936027,0.001010101,0.124242424,0.10976431,0.036363636,162,264,35,4,49,27,18,559,0.28980322,0.472271914,0.062611807,0.007155635,0.08765653,0.048300537,0.032200358,97
Chris Morris,328,73,138,33,1,37,27,19,0.222560976,0.420731707,0.100609756,0.00304878,0.112804878,0.082317073,0.057926829,425,482,86,10,168,56,69,1296,0.327932099,0.37191358,0.066358025,0.007716049,0.12962963,0.043209877,0.053240741,19
Corey Anderson,423,165,139,25,1,40,31,22,0.390070922,0.328605201,0.059101655,0.002364066,0.094562648,0.073286052,0.052009456,68,136,18,0,52,23,11,308,0.220779221,0.441558442,0.058441558,0,0.168831169,0.074675325,0.035714286,11
Chris Jordan,5,1,1,1,0,0,0,2,0.2,0.2,0.2,0,0,0,0.4,49,91,17,0,24,12,12,205,0.23902439,0.443902439,0.082926829,0,0.117073171,0.058536585,0.058536585,222
Clint Mckay,15,7,6,1,0,0,0,1,0.466666667,0.4,0.066666667,0,0,0,0.066666667,13,17,1,1,8,1,1,42,0.30952381,0.404761905,0.023809524,0.023809524,0.19047619,0.023809524,0.023809524,222
Cameron White,755,224,334,47,2,76,36,36,0.296688742,0.442384106,0.062251656,0.002649007,0.100662252,0.047682119,0.047682119,7,24,3,0,5,6,1,46,0.152173913,0.52173913,0.065217391,0,0.108695652,0.130434783,0.02173913,222
Carlos Brathwaite,111,31,37,4,0,10,16,13,0.279279279,0.333333333,0.036036036,0,0.09009009,0.144144144,0.117117117,61,123,14,1,37,12,13,261,0.233716475,0.471264368,0.053639847,0.003831418,0.141762452,0.045977011,0.049808429,5
Chris Woakes,66,25,25,3,0,5,2,6,0.378787879,0.378787879,0.045454545,0,0.075757576,0.03030303,0.090909091,106,152,21,0,58,25,25,387,0.273901809,0.392764858,0.054263566,0,0.149870801,0.064599483,0.064599483,222
Dhruv Shorey,17,7,7,0,0,0,1,2,0.411764706,0.411764706,0,0,0,0.058823529,0.117647059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
D'arcy Short,99,38,35,3,0,11,5,7,0.383838384,0.353535354,0.03030303,0,0.111111111,0.050505051,0.070707071,6,7,1,0,1,1,1,17,0.352941176,0.411764706,0.058823529,0,0.058823529,0.058823529,0.058823529,5
David Wiese,90,21,43,6,0,12,4,4,0.233333333,0.477777778,0.066666667,0,0.133333333,0.044444444,0.044444444,63,135,17,1,44,9,16,285,0.221052632,0.473684211,0.059649123,0.003508772,0.154385965,0.031578947,0.056140351,222
David Miller,1334,369,570,126,1,127,87,54,0.276611694,0.427286357,0.094452774,0.000749625,0.095202399,0.065217391,0.04047976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
David Warner,3304,1077,1192,270,17,458,181,109,0.325968523,0.360774818,0.081719128,0.005145278,0.138619855,0.054782082,0.032990315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Doug Bollinger,23,10,9,1,0,1,1,1,0.434782609,0.391304348,0.043478261,0,0.043478261,0.043478261,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Dwayne Bravo,1156,376,430,104,5,116,61,64,0.325259516,0.371972318,0.089965398,0.00432526,0.100346021,0.052768166,0.055363322,678,1184,219,6,289,133,147,2656,0.255271084,0.445783133,0.082454819,0.002259036,0.108810241,0.050075301,0.055346386,27
Deepak Hooda,413,97,188,41,1,27,24,35,0.234866828,0.455205811,0.099273608,0.002421308,0.065375303,0.05811138,0.084745763,53,121,16,0,22,12,6,230,0.230434783,0.526086957,0.069565217,0,0.095652174,0.052173913,0.026086957,45
David Hussey,1075,350,452,72,2,90,60,49,0.325581395,0.420465116,0.066976744,0.001860465,0.08372093,0.055813953,0.045581395,78,149,26,1,30,25,8,317,0.246056782,0.470031546,0.082018927,0.003154574,0.094637224,0.078864353,0.025236593,222
Darren Sammy,241,83,94,15,1,15,18,15,0.34439834,0.390041494,0.062240664,0.004149378,0.062240664,0.074688797,0.062240664,61,103,20,1,33,12,11,241,0.253112033,0.427385892,0.082987552,0.004149378,0.136929461,0.049792531,0.045643154,222
Deepak Chahar,44,7,19,4,0,2,6,6,0.159090909,0.431818182,0.090909091,0,0.045454545,0.136363636,0.136363636,295,221,36,4,104,24,33,717,0.411436541,0.308228731,0.050209205,0.005578801,0.145048815,0.033472803,0.046025105,4
Daniel Vettori,113,33,54,4,1,11,2,8,0.292035398,0.477876106,0.03539823,0.008849558,0.097345133,0.017699115,0.07079646,242,355,54,1,67,24,28,771,0.31387808,0.460440986,0.070038911,0.001297017,0.08690013,0.031128405,0.036316472,222
Darren Bravo,5,2,2,0,0,1,0,0,0.4,0.4,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Dwayne Smith,1763,709,521,84,3,245,117,84,0.402155417,0.295519002,0.047646058,0.001701645,0.138967669,0.066364152,0.047646058,142,232,37,0,74,33,26,544,0.261029412,0.426470588,0.068014706,0,0.136029412,0.060661765,0.047794118,222
Dhawal Kulkarni,106,36,44,7,1,7,2,9,0.339622642,0.41509434,0.066037736,0.009433962,0.066037736,0.018867925,0.08490566,643,614,107,10,266,77,86,1803,0.356627842,0.340543539,0.059345535,0.005546312,0.147531891,0.0427066,0.047698281,10
Daniel Christian,374,97,180,29,2,22,19,25,0.259358289,0.481283422,0.077540107,0.005347594,0.058823529,0.050802139,0.06684492,234,340,67,2,87,34,34,798,0.293233083,0.426065163,0.0839599,0.002506266,0.109022556,0.042606516,0.042606516,222
Dale Steyn,158,46,54,19,0,14,3,22,0.291139241,0.341772152,0.120253165,0,0.088607595,0.018987342,0.139240506,900,701,125,15,268,47,96,2152,0.418215613,0.325743494,0.058085502,0.00697026,0.124535316,0.021840149,0.044609665,6
Evin Lewis,328,136,100,12,2,36,26,16,0.414634146,0.304878049,0.036585366,0.006097561,0.109756098,0.079268293,0.048780488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
Eoin Morgan,705,252,255,49,3,72,34,40,0.357446809,0.361702128,0.069503546,0.004255319,0.10212766,0.04822695,0.056737589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Eklavya Dwivedi,14,4,4,0,0,2,2,2,0.285714286,0.285714286,0,0,0.142857143,0.142857143,0.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Farhaan Behardien,13,3,6,0,0,2,0,2,0.230769231,0.461538462,0,0,0.153846154,0,0.153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Faf du Plessis,1460,450,630,90,9,163,59,59,0.308219178,0.431506849,0.061643836,0.006164384,0.111643836,0.040410959,0.040410959,0,4,0,0,0,2,0,6,0,0.666666667,0,0,0,0.333333333,0,28
Fidel Edwards,5,2,1,0,1,0,0,1,0.4,0.2,0,0.2,0,0,0.2,65,45,8,0,19,2,5,144,0.451388889,0.3125,0.055555556,0,0.131944444,0.013888889,0.034722222,222
Faiz Fazal,173,58,75,7,0,22,1,10,0.335260116,0.433526012,0.040462428,0,0.12716763,0.005780347,0.057803468,1,8,1,0,1,1,0,12,0.083333333,0.666666667,0.083333333,0,0.083333333,0.083333333,0,222
