crr_ran,over,wickets_fell,total_Score_range,dot,sing,doub,triple,four,six,wicket,total,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
0 to 5,11,6,30 to 40,1,2,0,0,0,0,0,3,0.333333333,0.666666667,0,0,0,0,0
0 to 5,11,5,40 to 50,20,11,1,0,1,1,3,37,0.540540541,0.297297297,0.027027027,0,0.027027027,0.027027027,0.081081081
0 to 5,11,5,50 to 60,1,5,1,0,0,0,2,9,0.111111111,0.555555556,0.111111111,0,0,0,0.222222222
0 to 5,11,6,40 to 50,2,1,0,0,0,0,1,4,0.5,0.25,0,0,0,0,0.25
0 to 5,12,2,40 to 50,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0 to 5,12,2,50 to 60,1,6,0,0,1,0,0,8,0.125,0.75,0,0,0.125,0,0
0 to 5,12,3,40 to 50,2,1,0,0,0,0,0,3,0.666666667,0.333333333,0,0,0,0,0
0 to 5,12,3,50 to 60,16,16,1,0,5,1,0,39,0.41025641,0.41025641,0.025641026,0,0.128205128,0.025641026,0
0 to 5,12,4,30 to 40,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0 to 5,12,4,40 to 50,12,11,0,0,1,1,0,25,0.48,0.44,0,0,0.04,0.04,0
0 to 5,12,3,50 to 60,15,17,5,0,6,0,2,45,0.333333333,0.377777778,0.111111111,0,0.133333333,0,0.044444444
0 to 5,12,5,40 to 50,8,5,0,0,1,0,0,14,0.571428571,0.357142857,0,0,0.071428571,0,0
0 to 5,12,4,50 to 60,6,7,0,0,0,0,1,14,0.428571429,0.5,0,0,0,0,0.071428571
0 to 5,12,6,40 to 50,2,7,1,0,0,0,0,10,0.2,0.7,0.1,0,0,0,0
0 to 5,12,5,50 to 60,14,13,1,0,5,1,2,36,0.388888889,0.361111111,0.027777778,0,0.138888889,0.027777778,0.055555556
0 to 5,12,7,40 to 50,3,1,0,0,0,0,0,4,0.75,0.25,0,0,0,0,0
0 to 5,12,6,50 to 60,3,3,1,0,0,0,1,8,0.375,0.375,0.125,0,0,0,0.125
0 to 5,13,3,50 to 60,3,7,0,0,0,0,0,10,0.3,0.7,0,0,0,0,0
0 to 5,13,3,60 to 70,4,6,3,0,0,0,0,13,0.307692308,0.461538462,0.230769231,0,0,0,0
0 to 5,13,4,40 to 50,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0 to 5,13,4,50 to 60,19,20,0,0,4,1,0,44,0.431818182,0.454545455,0,0,0.090909091,0.022727273,0
0 to 5,13,3,60 to 70,6,7,2,0,2,0,1,18,0.333333333,0.388888889,0.111111111,0,0.111111111,0,0.055555556
0 to 5,13,4,40 to 50,2,3,0,0,1,0,1,7,0.285714286,0.428571429,0,0,0.142857143,0,0.142857143
0 to 5,13,4,50 to 60,3,9,1,1,1,0,1,16,0.1875,0.5625,0.0625,0.0625,0.0625,0,0.0625
0 to 5,13,4,60 to 70,11,10,1,0,1,0,1,24,0.458333333,0.416666667,0.041666667,0,0.041666667,0,0.041666667
0 to 5,13,6,50 to 60,14,16,2,0,1,0,0,33,0.424242424,0.484848485,0.060606061,0,0.03030303,0,0
0 to 5,13,6,60 to 70,6,7,2,0,0,0,0,15,0.4,0.466666667,0.133333333,0,0,0,0
0 to 5,13,6,50 to 60,9,4,1,1,0,0,1,16,0.5625,0.25,0.0625,0.0625,0,0,0.0625
0 to 5,14,3,50 to 60,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0
0 to 5,14,3,60 to 70,2,8,0,0,1,0,0,11,0.181818182,0.727272727,0,0,0.090909091,0,0
0 to 5,14,4,50 to 60,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0 to 5,14,4,60 to 70,15,19,1,0,3,1,0,39,0.384615385,0.487179487,0.025641026,0,0.076923077,0.025641026,0
0 to 5,14,5,50 to 60,3,9,1,0,1,0,0,14,0.214285714,0.642857143,0.071428571,0,0.071428571,0,0
0 to 5,14,4,60 to 70,11,18,2,0,1,0,4,36,0.305555556,0.5,0.055555556,0,0.027777778,0,0.111111111
0 to 5,14,5,50 to 60,9,6,1,0,0,0,1,17,0.529411765,0.352941176,0.058823529,0,0,0,0.058823529
0 to 5,14,6,60 to 70,11,12,0,0,0,1,0,24,0.458333333,0.5,0,0,0,0.041666667,0
0 to 5,14,7,50 to 60,4,3,0,0,0,0,0,7,0.571428571,0.428571429,0,0,0,0,0
0 to 5,14,6,60 to 70,4,4,1,0,1,0,2,12,0.333333333,0.333333333,0.083333333,0,0.083333333,0,0.166666667
0 to 5,14,7,50 to 60,2,0,0,0,0,0,1,3,0.666666667,0,0,0,0,0,0.333333333
0 to 5,14,7,60 to 70,2,1,0,0,1,0,2,6,0.333333333,0.166666667,0,0,0.166666667,0,0.333333333
0 to 5,15,3,70 to 80,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0 to 5,15,4,60 to 70,3,5,1,0,0,0,0,9,0.333333333,0.555555556,0.111111111,0,0,0,0
0 to 5,15,4,70 to 80,7,5,2,0,1,1,0,16,0.4375,0.3125,0.125,0,0.0625,0.0625,0
0 to 5,15,5,60 to 70,5,15,1,1,0,1,0,23,0.217391304,0.652173913,0.043478261,0.043478261,0,0.043478261,0
0 to 5,15,4,70 to 80,4,14,1,1,0,1,1,22,0.181818182,0.636363636,0.045454545,0.045454545,0,0.045454545,0.045454545
0 to 5,15,6,50 to 60,2,0,1,0,0,0,0,3,0.666666667,0,0.333333333,0,0,0,0
0 to 5,15,6,60 to 70,9,5,2,0,3,0,0,19,0.473684211,0.263157895,0.105263158,0,0.157894737,0,0
0 to 5,15,5,70 to 80,7,6,0,0,1,0,2,16,0.4375,0.375,0,0,0.0625,0,0.125
0 to 5,15,6,50 to 60,2,0,0,0,0,0,1,3,0.666666667,0,0,0,0,0,0.333333333
0 to 5,15,7,60 to 70,7,4,0,0,1,0,0,12,0.583333333,0.333333333,0,0,0.083333333,0,0
0 to 5,15,7,70 to 80,4,2,0,0,0,0,0,6,0.666666667,0.333333333,0,0,0,0,0
