player,balls_Faced,dots,singles,doubles,triples,fours,sixes,wickets,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob,dots_conc,singles_conc,doubles_conc,triples_conc,fours_conc,sixes_conc,wickets_conc,balls_bowled,dot_conc_prob,sing_conc_prob,doub_conc_prob,trip_conc_prob,four_conc_prob,six_conc_prob,wkt_conc_prob
Abhishek Nayar.,576,185,230,47,1,55,20,38,0.3211805555555556,0.3993055555555556,0.08159722222222222,0.001736111111111111,0.0954861111111111,0.034722222222222224,0.06597222222222222,60,112,22,0,22,13,9,238,0.25210084033613445,0.47058823529411764,0.09243697478991597,0,0.09243697478991597,0.0546218487394958,0.037815126050420166
Ajinkya Rahane,3136,1023,1289,214,15,405,74,116,0.32621173469387754,0.41103316326530615,0.06823979591836735,0.0047831632653061226,0.1291454081632653,0.023596938775510203,0.036989795918367346,1,3,1,0,0,0,1,6,0.16666666666666666,0.5,0.16666666666666666,0,0,0,0.16666666666666666
Anirudh Singh,66,27,23,5,0,6,1,4,0.4090909090909091,0.3484848484848485,0.07575757575757576,0,0.09090909090909091,0.015151515151515152,0.06060606060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ankit Sharma,109,27,43,9,0,11,9,10,0.24770642201834864,0.3944954128440367,0.08256880733944955,0,0.10091743119266056,0.08256880733944955,0.09174311926605505,125,169,25,4,29,19,13,384,0.3255208333333333,0.4401041666666667,0.06510416666666667,0.010416666666666666,0.07552083333333333,0.049479166666666664,0.033854166666666664
Ankit Soni,9,5,1,0,0,0,1,2,0.5555555555555556,0.1111111111111111,0,0,0,0.1111111111111111,0.2222222222222222,35,48,11,0,8,7,2,111,0.3153153153153153,0.43243243243243246,0.0990990990990991,0,0.07207207207207207,0.06306306306306306,0.018018018018018018
Anureet Singh,47,18,22,0,0,2,1,4,0.3829787234042553,0.46808510638297873,0,0,0.0425531914893617,0.02127659574468085,0.0851063829787234,121,158,29,3,64,22,18,415,0.29156626506024097,0.38072289156626504,0.06987951807228916,0.007228915662650603,0.15421686746987953,0.05301204819277108,0.043373493975903614
Aditya Tare,273,106,72,19,1,40,11,24,0.3882783882783883,0.26373626373626374,0.0695970695970696,0.003663003663003663,0.14652014652014653,0.040293040293040296,0.08791208791208792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Axar Patel,630,155,304,47,0,47,35,42,0.24603174603174602,0.48253968253968255,0.0746031746031746,0,0.0746031746031746,0.05555555555555555,0.06666666666666667,489,811,109,3,138,89,71,1710,0.28596491228070176,0.47426900584795323,0.06374269005847953,0.0017543859649122807,0.08070175438596491,0.052046783625730994,0.04152046783625731
Ankit Rajpoot,31,17,7,1,0,2,0,4,0.5483870967741935,0.22580645161290322,0.03225806451612903,0,0.06451612903225806,0,0.12903225806451613,139,156,23,3,71,18,22,432,0.32175925925925924,0.3611111111111111,0.05324074074074074,0.006944444444444444,0.16435185185185186,0.041666666666666664,0.05092592592592592
Ambati Rayudu,2620,795,1157,154,1,278,120,115,0.30343511450381677,0.4416030534351145,0.05877862595419847,0.0003816793893129771,0.10610687022900764,0.04580152671755725,0.04389312977099236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Avesh Khan,3,2,0,0,0,1,0,0,0.6666666666666666,0,0,0,0.3333333333333333,0,0,56,53,4,0,22,18,5,158,0.35443037974683544,0.33544303797468356,0.02531645569620253,0,0.13924050632911392,0.11392405063291139,0.03164556962025317
Azhar Mahmood,303,97,116,19,0,39,13,19,0.3201320132013201,0.38283828382838286,0.0627062706270627,0,0.12871287128712872,0.0429042904290429,0.0627062706270627,170,219,33,1,71,18,29,541,0.3142329020332717,0.4048059149722736,0.06099815157116451,0.0018484288354898336,0.13123844731977818,0.033271719038817,0.053604436229205174
Balachandra Akhil,55,18,16,5,0,5,5,6,0.32727272727272727,0.2909090909090909,0.09090909090909091,0,0.09090909090909091,0.09090909090909091,0.10909090909090909,54,88,14,0,18,9,6,189,0.2857142857142857,0.4656084656084656,0.07407407407407407,0,0.09523809523809523,0.047619047619047616,0.031746031746031744
Bharat Chipli,251,90,100,7,4,28,7,15,0.35856573705179284,0.398406374501992,0.027888446215139442,0.01593625498007968,0.11155378486055777,0.027888446215139442,0.05976095617529881,1,0,2,0,1,2,0,6,0.16666666666666666,0,0.3333333333333333,0,0.16666666666666666,0.3333333333333333,0.0
Bhuvneshwar Kumar,192,65,69,14,0,17,3,24,0.3385416666666667,0.359375,0.07291666666666667,0,0.08854166666666667,0.015625,0.125,983,918,179,11,322,87,133,2633,0.37333839726547663,0.3486517280668439,0.06798328902392708,0.004177744018230156,0.1222939612609191,0.03304215723509305,0.050512723129510065
Ben Laughlin,13,6,5,0,0,0,0,2,0.46153846153846156,0.38461538461538464,0,0,0,0,0.15384615384615385,32,80,19,0,26,10,10,177,0.1807909604519774,0.4519774011299435,0.10734463276836158,0,0.14689265536723164,0.05649717514124294,0.05649717514124294
Brett Lee,97,31,36,4,0,8,8,10,0.31958762886597936,0.3711340206185567,0.041237113402061855,0,0.08247422680412371,0.08247422680412371,0.10309278350515463,349,296,67,2,121,25,25,885,0.3943502824858757,0.3344632768361582,0.07570621468926554,0.0022598870056497176,0.1367231638418079,0.02824858757062147,0.02824858757062147
Billy Stanlake,2,0,1,0,0,1,0,0,0,0.5,0,0,0.5,0,0,57,49,6,3,19,9,7,150,0.38,0.32666666666666666,0.04,0.02,0.12666666666666668,0.06,0.04666666666666667
Bodapati Sumanth,37,13,17,3,0,3,0,1,0.35135135135135137,0.4594594594594595,0.08108108108108109,0,0.08108108108108109,0,0.02702702702702703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
