crr_ran,total_Score_range,total,dot,sing,doub,triple,four,six,wicket,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
>13,40 to 50,63,16,18,1,0,16,8,4,0.25396825396825395,0.2857142857142857,0.015873015873015872,0.0,0.25396825396825395,0.12698412698412698,0.06349206349206349
11 to 12,40 to 50,64,18,20,5,0,12,6,3,0.28125,0.3125,0.078125,0.0,0.1875,0.09375,0.046875
11 to 12,30 to 40,68,21,15,4,0,16,8,4,0.3088235294117647,0.22058823529411764,0.058823529411764705,0.0,0.23529411764705882,0.11764705882352941,0.058823529411764705
8 to 8.5,10 to 20,69,15,18,9,3,12,7,5,0.21739130434782608,0.2608695652173913,0.13043478260869565,0.043478260869565216,0.17391304347826086,0.10144927536231885,0.07246376811594203
>13,30 to 40,71,16,13,4,2,24,7,5,0.22535211267605634,0.18309859154929578,0.056338028169014086,0.028169014084507043,0.3380281690140845,0.09859154929577464,0.07042253521126761
11 to 12,50 to 60,71,16,26,5,0,10,9,5,0.22535211267605634,0.36619718309859156,0.07042253521126761,0.0,0.14084507042253522,0.1267605633802817,0.07042253521126761
11 to 12,60 to 70,71,19,20,1,1,18,8,4,0.2676056338028169,0.28169014084507044,0.014084507042253521,0.014084507042253521,0.2535211267605634,0.11267605633802817,0.056338028169014086
11 to 12,80 to 90,71,15,36,0,1,9,9,1,0.2112676056338028,0.5070422535211268,0.0,0.014084507042253521,0.1267605633802817,0.1267605633802817,0.014084507042253521
11 to 12,90 to 100,71,11,33,7,0,9,9,2,0.15492957746478872,0.4647887323943662,0.09859154929577464,0.0,0.1267605633802817,0.1267605633802817,0.028169014084507043
>13,10 to 20,77,14,15,5,2,25,15,1,0.18181818181818182,0.19480519480519481,0.06493506493506493,0.025974025974025976,0.3246753246753247,0.19480519480519481,0.012987012987012988
8.5 to 9,20 to 30,80,21,19,7,3,18,10,2,0.2625,0.2375,0.0875,0.0375,0.225,0.125,0.025
9.5 to 10,30 to 40,80,20,19,5,0,21,7,8,0.25,0.2375,0.0625,0.0,0.2625,0.0875,0.1
>13,20 to 30,81,18,17,3,2,19,17,5,0.2222222222222222,0.20987654320987653,0.037037037037037035,0.024691358024691357,0.2345679012345679,0.20987654320987653,0.06172839506172839
9 to 9.5,20 to 30,83,22,22,7,0,21,5,6,0.26506024096385544,0.26506024096385544,0.08433734939759036,0.0,0.25301204819277107,0.060240963855421686,0.07228915662650602
7.5 to 8,10 to 20,87,20,20,11,4,14,11,7,0.22988505747126436,0.22988505747126436,0.12643678160919541,0.04597701149425287,0.16091954022988506,0.12643678160919541,0.08045977011494253
10 to 11,90 to 100,96,22,39,9,0,13,10,3,0.22916666666666666,0.40625,0.09375,0.0,0.13541666666666666,0.10416666666666667,0.03125
7 to 7.5,10 to 20,96,20,21,13,5,22,9,6,0.20833333333333334,0.21875,0.13541666666666666,0.052083333333333336,0.22916666666666666,0.09375,0.0625
10 to 11,20 to 30,99,25,24,13,5,22,7,3,0.25252525252525254,0.24242424242424243,0.13131313131313133,0.050505050505050504,0.2222222222222222,0.0707070707070707,0.030303030303030304
9.5 to 10,100 to 110,101,17,39,9,0,16,17,3,0.16831683168316833,0.38613861386138615,0.0891089108910891,0.0,0.15841584158415842,0.16831683168316833,0.0297029702970297
9.5 to 10,90 to 100,104,19,42,10,0,17,10,6,0.18269230769230768,0.40384615384615385,0.09615384615384616,0.0,0.16346153846153846,0.09615384615384616,0.057692307692307696
6 to 7,0 to 10,105,24,23,14,6,20,6,12,0.22857142857142856,0.21904761904761905,0.13333333333333333,0.05714285714285714,0.19047619047619047,0.05714285714285714,0.11428571428571428
10 to 11,80 to 90,108,21,52,8,1,15,9,2,0.19444444444444445,0.48148148148148145,0.07407407407407407,0.009259259259259259,0.1388888888888889,0.08333333333333333,0.018518518518518517
9.5 to 10,40 to 50,110,31,33,5,1,24,12,4,0.2818181818181818,0.3,0.045454545454545456,0.00909090909090909,0.21818181818181817,0.10909090909090909,0.03636363636363636
10 to 11,30 to 40,112,30,26,6,0,31,11,8,0.26785714285714285,0.23214285714285715,0.05357142857142857,0.0,0.2767857142857143,0.09821428571428571,0.07142857142857142
9.5 to 10,70 to 80,112,23,48,10,0,16,11,4,0.20535714285714285,0.42857142857142855,0.08928571428571429,0.0,0.14285714285714285,0.09821428571428571,0.03571428571428571
