bowler,dots_conc,singles_conc,doubles_conc,triples_conc,fours_conc,sixes_conc,wickets_conc,balls_bowled,dot_conc_prob,sing_conc_prob,doub_conc_prob,trip_conc_prob,four_conc_prob,six_conc_prob,wkt_conc_prob
Ben Rohrer,1,4,0,0,2,0,0,7,0.14285714285714285,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.0
Jeevan Mendis,10,14,1,0,2,2,1,30,0.3333333333333333,0.4666666666666667,0.03333333333333333,0.0,0.06666666666666668,0.06666666666666668,0.03333333333333333
Benjamin William Hilfenhaus,151,115,20,2,48,21,22,379,0.3984168865435356,0.3034300791556728,0.05277044854881266,0.0052770448548812654,0.1266490765171504,0.055408970976253295,0.058047493403693924
Colin de Grandhomme,52,117,15,0,22,12,6,224,0.23214285714285715,0.5223214285714286,0.06696428571428571,0.0,0.09821428571428573,0.05357142857142857,0.026785714285714284
Colin Munro,5,5,0,0,1,1,0,12,0.4166666666666667,0.4166666666666667,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0
Chris Gayle,162,264,35,4,49,27,18,559,0.2898032200357782,0.4722719141323792,0.0626118067978533,0.007155635062611806,0.08765652951699464,0.048300536672629686,0.03220035778175313
Chris Morris,425,482,86,10,168,56,69,1296,0.3279320987654321,0.3719135802469136,0.06635802469135803,0.007716049382716048,0.12962962962962962,0.043209876543209874,0.053240740740740734
Corey Anderson,68,136,18,0,52,23,11,308,0.2207792207792208,0.4415584415584416,0.05844155844155844,0.0,0.16883116883116886,0.07467532467532467,0.03571428571428571
Chris Jordan,49,91,17,0,24,12,12,205,0.23902439024390246,0.4439024390243903,0.08292682926829269,0.0,0.11707317073170732,0.05853658536585366,0.05853658536585366
Clint Mckay,13,17,1,1,8,1,1,42,0.30952380952380953,0.4047619047619048,0.023809523809523808,0.023809523809523808,0.19047619047619047,0.023809523809523808,0.023809523809523808
Cameron White,7,24,3,0,5,6,1,46,0.15217391304347827,0.5217391304347826,0.06521739130434782,0.0,0.10869565217391304,0.13043478260869565,0.021739130434782608
Carlos Brathwaite,61,123,14,1,37,12,13,261,0.23371647509578544,0.4712643678160919,0.05363984674329502,0.0038314176245210726,0.1417624521072797,0.045977011494252866,0.049808429118773936
Chris Woakes,106,152,21,0,58,25,25,387,0.2739018087855297,0.39276485788113696,0.05426356589147287,0.0,0.14987080103359174,0.06459948320413436,0.06459948320413436
Darcy Short,6,7,1,0,1,1,1,17,0.35294117647058826,0.4117647058823529,0.05882352941176471,0.0,0.05882352941176471,0.05882352941176471,0.05882352941176471
David Wiese,63,135,17,1,44,9,16,285,0.22105263157894736,0.4736842105263158,0.059649122807017535,0.003508771929824561,0.1543859649122807,0.03157894736842105,0.05614035087719298
David Willey,17,23,3,0,12,3,2,60,0.2833333333333333,0.38333333333333336,0.05,0.0,0.2,0.05,0.03333333333333333
Doug Bollinger,217,200,33,2,73,19,37,581,0.3734939759036144,0.3442340791738382,0.056798623063683315,0.0034423407917383822,0.12564543889845095,0.03270223752151463,0.06368330464716007
Dwayne Bravo,678,1184,219,6,289,133,147,2656,0.2552710843373494,0.4457831325301205,0.08245481927710842,0.0022590361445783127,0.10881024096385544,0.05007530120481928,0.05534638554216868
Deepak Hooda,53,121,16,0,22,12,6,230,0.23043478260869565,0.5260869565217391,0.06956521739130435,0.0,0.09565217391304348,0.052173913043478265,0.026086956521739132
David Hussey,78,149,26,1,30,25,8,317,0.24605678233438485,0.470031545741325,0.08201892744479496,0.003154574132492113,0.0946372239747634,0.07886435331230282,0.025236593059936908
Darren Sammy,61,103,20,1,33,12,11,241,0.25311203319502074,0.42738589211618255,0.08298755186721991,0.004149377593360996,0.13692946058091288,0.04979253112033195,0.04564315352697095
Deepak Chahar,295,221,36,4,104,24,33,717,0.4114365411436541,0.3082287308228731,0.0502092050209205,0.0055788005578800565,0.14504881450488144,0.03347280334728033,0.04602510460251046
Daniel Vettori,242,355,54,1,67,24,28,771,0.3138780804150454,0.4604409857328145,0.07003891050583658,0.0012970168612191958,0.08690012970168612,0.0311284046692607,0.03631647211413749
Dwayne Smith,142,232,37,0,74,33,26,544,0.2610294117647059,0.4264705882352941,0.06801470588235294,0.0,0.13602941176470587,0.06066176470588235,0.04779411764705882
Dhawal Kulkarni,643,614,107,10,266,77,86,1803,0.3566278424847477,0.3405435385468663,0.05934553521907932,0.005546311702717693,0.14753189129229066,0.04270660011092623,0.047698280643372164
Daniel Christian,234,340,67,2,87,34,34,798,0.2932330827067669,0.42606516290726815,0.08395989974937343,0.0025062656641604013,0.10902255639097744,0.04260651629072682,0.04260651629072682
Dale Steyn,900,701,125,15,268,47,96,2152,0.4182156133828997,0.3257434944237918,0.05808550185873606,0.006970260223048327,0.12453531598513012,0.02184014869888476,0.044609665427509285
Faf du Plessis,0,4,0,0,0,2,0,6,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0
Fidel Edwards,65,45,8,0,19,2,5,144,0.4513888888888889,0.3125,0.05555555555555555,0.0,0.13194444444444445,0.013888888888888888,0.034722222222222224
Faiz Fazal,1,8,1,0,1,1,0,12,0.08333333333333333,0.6666666666666666,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0
Gagandeep Singh,22,27,11,0,14,6,3,83,0.26506024096385544,0.3253012048192771,0.13253012048192772,0.0,0.1686746987951807,0.07228915662650602,0.03614457831325301
Brad Hogg,136,196,34,3,39,21,23,452,0.3008849557522124,0.4336283185840708,0.0752212389380531,0.00663716814159292,0.08628318584070796,0.04646017699115045,0.050884955752212385
Glenn McGrath,141,103,11,1,41,10,12,319,0.4420062695924765,0.322884012539185,0.03448275862068965,0.003134796238244514,0.12852664576802508,0.03134796238244514,0.03761755485893417
Hanuma Vihari,16,12,2,0,4,1,1,36,0.4444444444444444,0.3333333333333333,0.05555555555555555,0.0,0.1111111111111111,0.027777777777777776,0.027777777777777776
Glenn Maxwell,111,197,33,0,39,32,16,428,0.25934579439252337,0.4602803738317757,0.07710280373831775,0.0,0.0911214953271028,0.07476635514018691,0.037383177570093455
Graham Napier,7,11,1,0,2,1,1,23,0.3043478260869565,0.4782608695652174,0.043478260869565216,0.0,0.08695652173913042,0.043478260869565216,0.043478260869565216
Gurinder Sandhu,8,18,10,0,8,2,1,47,0.1702127659574468,0.3829787234042553,0.2127659574468085,0.0,0.1702127659574468,0.0425531914893617,0.02127659574468085
Gurkeerat Singh,21,40,6,1,6,3,5,82,0.25609756097560976,0.4878048780487805,0.07317073170731707,0.012195121951219513,0.07317073170731707,0.03658536585365853,0.06097560975609756
Harpreet Brar,7,16,1,0,3,3,0,30,0.2333333333333333,0.5333333333333333,0.03333333333333333,0.0,0.1,0.1,0.0
Harry Gurney,43,72,16,0,23,7,7,168,0.2559523809523809,0.42857142857142855,0.09523809523809523,0.0,0.13690476190476192,0.04166666666666666,0.04166666666666666
Hanuma Vihari,0,5,0,0,1,0,0,6,0.0,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0
Hardus Viljoen,36,54,12,1,25,6,7,141,0.2553191489361702,0.3829787234042553,0.0851063829787234,0.007092198581560284,0.1773049645390071,0.0425531914893617,0.04964539007092199
Harbhajan Singh,1094,1519,190,15,289,142,150,3399,0.3218593704030597,0.44689614592527216,0.055898793762871435,0.00441306266548985,0.08502500735510445,0.041776993233303916,0.0441306266548985
Harmeet Singh,163,218,42,0,65,20,26,534,0.3052434456928839,0.40823970037453183,0.07865168539325842,0.0,0.12172284644194754,0.03745318352059925,0.048689138576779034
Hardik Pandya,245,377,55,2,115,58,42,894,0.2740492170022371,0.4217002237136465,0.061521252796420574,0.0022371364653243847,0.12863534675615212,0.06487695749440715,0.04697986577181208
Harshal Patel,245,331,62,1,115,47,43,844,0.2902843601895735,0.3921800947867299,0.07345971563981042,0.0011848341232227491,0.1362559241706161,0.055687203791469186,0.0509478672985782
Ishant Sharma,743,603,128,13,301,72,71,1931,0.38477472812014507,0.3122734334541688,0.06628689798032107,0.006732263076126359,0.15587778353184878,0.037286380113930616,0.03676851372345935
Ish Sodhi,56,81,17,1,9,8,9,181,0.3093922651933701,0.44751381215469616,0.09392265193370164,0.0055248618784530384,0.04972375690607735,0.044198895027624314,0.04972375690607735
Irfan Pathan,755,731,116,4,293,82,80,2061,0.36632702571567205,0.3546821931101407,0.05628335759340127,0.001940805434255216,0.14216399805919458,0.039786511402231925,0.038816108685104316
Imran Tahir,327,567,84,3,94,79,79,1233,0.2652068126520681,0.4598540145985402,0.0681265206812652,0.0024330900243309003,0.07623682076236821,0.0640713706407137,0.0640713706407137
Iqbal Abdulla,291,416,51,4,88,37,40,927,0.313915857605178,0.4487594390507012,0.05501618122977346,0.004314994606256742,0.09492988133764832,0.03991370010787487,0.04314994606256743
Jofra Archer,181,181,32,2,54,26,26,502,0.3605577689243028,0.3605577689243028,0.06374501992031872,0.00398406374501992,0.10756972111553784,0.05179282868525897,0.05179282868525897
Jason Behrendorff,46,31,5,0,19,8,5,114,0.4035087719298245,0.2719298245614035,0.04385964912280702,0.0,0.16666666666666666,0.07017543859649122,0.04385964912280702
Johan Botha,229,308,43,4,60,24,25,693,0.33044733044733043,0.4444444444444444,0.06204906204906205,0.005772005772005772,0.08658008658008658,0.03463203463203463,0.036075036075036065
Junior Dala,7,4,3,0,3,2,0,19,0.3684210526315789,0.21052631578947367,0.15789473684210525,0.0,0.15789473684210525,0.10526315789473684,0.0
Jagadeesha Suchith,69,122,24,2,31,16,12,276,0.25,0.4420289855072464,0.08695652173913042,0.007246376811594203,0.11231884057971014,0.05797101449275361,0.043478260869565216
Jayant Yadav,84,94,16,0,18,8,5,225,0.37333333333333335,0.4177777777777778,0.07111111111111111,0.0,0.08,0.03555555555555556,0.022222222222222227
Jesse Ryder,71,105,18,0,21,13,8,236,0.3008474576271186,0.4449152542372881,0.07627118644067797,0.0,0.08898305084745763,0.05508474576271186,0.03389830508474576
Jaidev Unadkat,429,617,102,9,191,95,77,1520,0.2822368421052632,0.40592105263157896,0.06710526315789474,0.0059210526315789476,0.1256578947368421,0.0625,0.0506578947368421
Jacob Oram,70,95,14,0,34,13,9,235,0.2978723404255319,0.40425531914893614,0.059574468085106386,0.0,0.14468085106382975,0.05531914893617021,0.03829787234042553
James Neesham,13,25,3,0,9,4,1,55,0.2363636363636364,0.4545454545454545,0.054545454545454536,0.0,0.16363636363636366,0.07272727272727272,0.01818181818181818
James Franklin,30,75,11,1,21,6,9,153,0.19607843137254904,0.4901960784313725,0.0718954248366013,0.006535947712418301,0.13725490196078433,0.0392156862745098,0.05882352941176471
