rrr_ran,total_Score_range,over,wickets_fell,dot,sing,doub,triple,four,six,wicket,total,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
>13,110 to 120,11,1,0,1,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
>13,110 to 120,11,2,3,5,0,0,0,1,1,10,0.3,0.5,0.0,0.0,0.0,0.1,0.1
>13,110 to 120,12,2,1,10,0,0,1,1,0,13,0.07692307692307693,0.7692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0
>13,110 to 120,12,3,1,1,0,0,0,0,1,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
>13,110 to 120,12,4,0,1,0,0,1,1,0,3,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0
>13,110 to 120,12,5,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
>13,110 to 120,12,6,2,1,0,0,0,0,0,3,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
>13,110 to 120,13,2,1,3,2,0,1,1,0,8,0.125,0.375,0.25,0.0,0.125,0.125,0.0
>13,110 to 120,13,3,6,4,1,0,1,1,1,14,0.42857142857142855,0.2857142857142857,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
>13,110 to 120,13,4,4,12,1,0,3,1,1,23,0.17391304347826086,0.5217391304347826,0.043478260869565216,0.0,0.13043478260869565,0.043478260869565216,0.043478260869565216
>13,110 to 120,13,5,2,3,0,0,2,1,0,8,0.25,0.375,0.0,0.0,0.25,0.125,0.0
>13,110 to 120,13,6,2,3,0,0,0,0,0,5,0.4,0.6,0.0,0.0,0.0,0.0,0.0
>13,110 to 120,13,7,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
>13,110 to 120,14,2,1,2,0,0,0,2,0,5,0.2,0.4,0.0,0.0,0.0,0.4,0.0
>13,110 to 120,14,3,2,12,1,0,2,0,0,17,0.11764705882352941,0.7058823529411765,0.058823529411764705,0.0,0.11764705882352941,0.0,0.0
>13,110 to 120,14,4,10,21,3,0,8,5,2,50,0.2,0.42,0.06,0.0,0.16,0.1,0.04
>13,110 to 120,14,5,9,2,1,0,1,7,2,22,0.4090909090909091,0.09090909090909091,0.045454545454545456,0.0,0.045454545454545456,0.3181818181818182,0.09090909090909091
>13,110 to 120,14,6,0,0,1,0,0,0,1,2,0.0,0.0,0.5,0.0,0.0,0.0,0.5
>13,110 to 120,14,7,1,1,0,0,0,0,0,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0
>13,110 to 120,14,8,2,1,0,0,0,0,1,4,0.5,0.25,0.0,0.0,0.0,0.0,0.25
>13,110 to 120,14,9,0,4,0,0,0,1,0,5,0.0,0.8,0.0,0.0,0.0,0.2,0.0
>13,110 to 120,15,2,1,1,1,0,0,0,0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0
>13,110 to 120,15,3,4,9,3,0,2,2,0,20,0.2,0.45,0.15,0.0,0.1,0.1,0.0
>13,110 to 120,15,4,15,20,5,0,1,9,3,53,0.2830188679245283,0.37735849056603776,0.09433962264150944,0.0,0.018867924528301886,0.16981132075471697,0.05660377358490566
>13,110 to 120,15,5,10,14,3,1,4,3,2,37,0.2702702702702703,0.3783783783783784,0.08108108108108109,0.02702702702702703,0.10810810810810811,0.08108108108108109,0.05405405405405406
>13,110 to 120,15,6,1,7,0,0,0,2,2,12,0.08333333333333333,0.5833333333333334,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
>13,110 to 120,15,7,2,0,0,0,0,1,2,5,0.4,0.0,0.0,0.0,0.0,0.2,0.4
>13,110 to 120,15,8,5,2,0,0,0,0,0,7,0.7142857142857143,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
>13,110 to 120,16,3,6,11,1,0,7,3,0,28,0.21428571428571427,0.39285714285714285,0.03571428571428571,0.0,0.25,0.10714285714285714,0.0
>13,110 to 120,16,4,11,33,6,0,7,2,2,61,0.18032786885245902,0.5409836065573771,0.09836065573770492,0.0,0.11475409836065574,0.03278688524590164,0.03278688524590164
>13,110 to 120,16,5,16,35,9,0,10,2,3,75,0.21333333333333335,0.4666666666666667,0.12,0.0,0.13333333333333333,0.02666666666666667,0.04
>13,110 to 120,16,6,7,19,2,0,2,3,1,35,0.2,0.5428571428571428,0.05714285714285714,0.0,0.05714285714285714,0.08571428571428572,0.02857142857142857
>13,110 to 120,16,7,15,8,2,0,2,2,2,31,0.4838709677419355,0.25806451612903225,0.06451612903225806,0.0,0.06451612903225806,0.06451612903225806,0.06451612903225806
>13,110 to 120,16,8,5,6,0,0,1,1,2,15,0.3333333333333333,0.4,0.0,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333
>13,110 to 120,16,9,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
>13,110 to 120,17,2,1,5,0,0,0,0,0,6,0.16666666666666666,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
>13,110 to 120,17,3,3,6,0,0,1,1,0,11,0.2727272727272727,0.5454545454545454,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0
>13,110 to 120,17,4,2,8,1,0,2,0,1,14,0.14285714285714285,0.5714285714285714,0.07142857142857142,0.0,0.14285714285714285,0.0,0.07142857142857142
>13,110 to 120,17,5,11,26,5,0,11,3,3,60,0.18333333333333332,0.43333333333333335,0.08333333333333333,0.0,0.18333333333333332,0.05,0.05
>13,110 to 120,17,6,15,36,8,0,5,2,10,76,0.19736842105263158,0.47368421052631576,0.10526315789473684,0.0,0.06578947368421052,0.02631578947368421,0.13157894736842105
>13,110 to 120,17,7,18,37,5,0,4,3,5,72,0.25,0.5138888888888888,0.06944444444444445,0.0,0.05555555555555555,0.041666666666666664,0.06944444444444445
>13,110 to 120,17,8,10,15,1,0,1,0,4,32,0.3125,0.46875,0.03125,0.0,0.03125,0.0,0.125
>13,110 to 120,17,9,3,2,0,0,1,1,2,9,0.3333333333333333,0.2222222222222222,0.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222
>13,110 to 120,18,2,0,2,0,0,0,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
>13,110 to 120,18,3,1,5,1,0,0,1,1,9,0.1111111111111111,0.5555555555555556,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111
>13,110 to 120,18,4,2,9,2,1,1,1,1,17,0.11764705882352941,0.5294117647058824,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705
>13,110 to 120,18,5,5,11,2,0,2,0,3,23,0.21739130434782608,0.4782608695652174,0.08695652173913043,0.0,0.08695652173913043,0.0,0.13043478260869565
>13,110 to 120,18,6,8,23,4,0,2,5,2,44,0.18181818181818182,0.5227272727272727,0.09090909090909091,0.0,0.045454545454545456,0.11363636363636363,0.045454545454545456
>13,110 to 120,18,7,23,28,5,0,6,3,8,73,0.3150684931506849,0.3835616438356164,0.0684931506849315,0.0,0.0821917808219178,0.0410958904109589,0.1095890410958904
>13,110 to 120,18,8,12,17,3,0,3,0,6,41,0.2926829268292683,0.4146341463414634,0.07317073170731707,0.0,0.07317073170731707,0.0,0.14634146341463414
>13,110 to 120,18,9,7,3,1,0,2,0,3,16,0.4375,0.1875,0.0625,0.0,0.125,0.0,0.1875
>13,110 to 120,18,10,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
>13,110 to 120,19,3,0,2,0,0,0,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
>13,110 to 120,19,4,0,3,0,0,0,0,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
