num,bowler,dots,singles,doubles,triples,fours,sixes,wickets,balls_bowled,dot_prob,sing_prob,doub_prob,trip_prop,four_prob,six_prob,wkt_prob
32,S Nadeem,372,607,76,6,98,66,42,1267,0.2936069455406472,0.47908445146014206,0.05998421468034728,0.004735595895816891,0.07734806629834254,0.05209155485398579,0.03314917127071823
33,JP Faulkner,338,486,123,5,159,65,59,1235,0.2736842105263158,0.39352226720647776,0.09959514170040486,0.004048582995951417,0.12874493927125505,0.05263157894736842,0.04777327935222672
34,Z Khan,771,813,145,9,312,64,102,2216,0.3479241877256318,0.3668772563176895,0.06543321299638989,0.004061371841155234,0.1407942238267148,0.02888086642599278,0.046028880866425995
35,KA Pollard,271,633,96,2,139,63,56,1260,0.2150793650793651,0.5023809523809524,0.0761904761904762,0.0015873015873015873,0.11031746031746031,0.05,0.044444444444444446
36,AD Russell,307,406,66,4,153,61,55,1052,0.29182509505703425,0.38593155893536124,0.06273764258555133,0.0038022813688212928,0.14543726235741444,0.05798479087452472,0.05228136882129278
37,Kuldeep Yadav,207,398,60,2,61,61,39,828,0.25,0.4806763285024155,0.07246376811594203,0.0024154589371980675,0.07367149758454106,0.07367149758454106,0.04710144927536232
38,M Morkel,631,556,101,11,228,61,77,1665,0.378978978978979,0.33393393393393395,0.06066066066066066,0.006606606606606606,0.13693693693693693,0.03663663663663664,0.04624624624624624
39,SB Jakati,290,491,88,7,97,60,47,1080,0.26851851851851855,0.4546296296296296,0.08148148148148149,0.006481481481481481,0.08981481481481482,0.05555555555555555,0.04351851851851852
40,Mohammed Shami,316,403,65,1,158,59,40,1042,0.30326295585412666,0.3867562380038388,0.06238003838771593,0.0009596928982725527,0.15163147792706333,0.05662188099808062,0.03838771593090211
41,HH Pandya,245,377,55,2,115,58,42,894,0.2740492170022371,0.4217002237136465,0.06152125279642058,0.0022371364653243847,0.12863534675615212,0.06487695749440715,0.04697986577181208
42,JH Kallis,536,749,106,6,235,57,65,1754,0.3055872291904219,0.42702394526795895,0.06043329532497149,0.0034207525655644243,0.13397947548460662,0.03249714937286203,0.037058152793614595
43,YK Pathan,351,548,56,4,99,57,42,1157,0.30337078651685395,0.4736387208297321,0.04840103716508211,0.003457216940363008,0.08556611927398444,0.049265341400172864,0.036300777873811585
44,AB Dinda,558,536,102,6,230,56,69,1557,0.3583815028901734,0.34425176621708414,0.06551059730250482,0.0038535645472061657,0.14771997430956968,0.03596660244059088,0.04431599229287091
45,CH Morris,425,482,86,10,168,56,69,1296,0.3279320987654321,0.37191358024691357,0.06635802469135803,0.007716049382716049,0.12962962962962962,0.043209876543209874,0.05324074074074074
46,JA Morkel,561,662,130,8,263,56,85,1765,0.3178470254957507,0.375070821529745,0.07365439093484419,0.004532577903682719,0.1490084985835694,0.03172804532577904,0.04815864022662889
47,SK Warne,369,528,100,5,92,56,57,1207,0.30571665285832644,0.4374482187241094,0.08285004142502071,0.004142502071251036,0.07622203811101906,0.0463960231980116,0.04722452361226181
48,MG Johnson,472,405,79,6,194,55,61,1272,0.3710691823899371,0.31839622641509435,0.06210691823899371,0.0047169811320754715,0.15251572327044025,0.04323899371069182,0.0479559748427673
49,MS Gony,311,317,50,4,135,53,37,907,0.3428886438809261,0.34950385887541346,0.05512679162072767,0.004410143329658214,0.14884233737596472,0.05843439911797133,0.040793825799338476
50,S Kaul,259,432,69,0,126,51,49,986,0.26267748478701824,0.4381338742393509,0.06997971602434078,0.0,0.12778904665314403,0.05172413793103448,0.04969574036511156
51,SK Trivedi,427,682,133,7,151,51,65,1516,0.2816622691292876,0.449868073878628,0.08773087071240106,0.004617414248021108,0.09960422163588391,0.033641160949868076,0.04287598944591029
